GO_id,description,gene_ratio,bg_ratio,p_value,p_adjust,q_value,gene_ids,count
GO:0061564,axon development,247/5559,490/18903,4.3210439e-23,2.78707330119e-19,1.96539269432e-19,170302/2115/3475/5048/6792/3730/7414/999/3371/7504/4804/1496/2046/2011/9175/4854/10371/10512/60/4133/1785/285220/3320/334/10890/57556/10013/55118/3326/1943/284217/4858/333/5802/1954/5864/3984/8022/219699/7422/57142/2043/7143/9048/8828/9331/1268/84612/1908/1948/7408/64919/23499/2258/3911/27255/2045/5879/7080/9314/6812/347733/3480/1009/4089/351/5792/1382/56956/1944/152330/91653/27242/26230/56288/5058/54915/9344/53942/288/5457/4685/2047/118813/7074/26053/9334/64843/2909/8997/57731/23114/4825/22853/4218/10501/214/9637/474/682/65059/9024/10458/627/57453/8408/3725/5781/9378/8633/2131/1436/2049/9241/83999/1946/6092/5727/349667/5649/84628/6477/3908/2316/104/4155/2297/10381/23077/7869/1272/9369/2896/7204/65078/1495/5362/1906/4983/23011/2932/1808/9252/2737/1855/6722/4548/1385/8609/8239/23022/10439/59352/8650/4038/9315/6498/9856/658/10939/2064/1969/57408/9353/4851/3688/7070/7345/89780/137970/22854/27185/5364/836/1020/2636/57611/2637/25942/6091/1826/1605/1600/5797/2290/6586/5454/23768/57698/1630/2917/23303/22876/729920/1719/51265/6683/3918/5588/57609/2263/23032/1947/4897/8829/23394/4168/80208/9253/1749/5803/6387/5532/1949/7474/150465/1889/6794/1959/1907/6608/64855/80031/79805/203228/4684/1813/9638/85458/4929/55740/140578/7476/27020/673/57465/123016/399/1000/8941/25987/10509/2050/26037/4914/9860/91584,247
GO:0007409,axonogenesis,225/5559,438/18903,1.73787629e-22,5.60465104427e-19,3.95229655851e-19,170302/2115/3475/5048/6792/3730/7414/999/7504/4804/1496/2046/2011/9175/4854/10371/10512/60/4133/1785/285220/3320/334/10890/57556/10013/3326/1943/284217/4858/333/5802/1954/5864/3984/8022/219699/7422/57142/2043/7143/9048/8828/9331/84612/1908/1948/7408/64919/23499/2258/3911/27255/2045/5879/7080/6812/347733/3480/1009/4089/351/1382/56956/1944/152330/91653/26230/56288/5058/54915/9344/53942/288/5457/2047/118813/7074/26053/9334/64843/2909/8997/57731/23114/4825/22853/4218/10501/214/9637/474/682/65059/9024/10458/627/57453/8408/5781/9378/8633/2131/1436/2049/9241/1946/6092/5727/5649/84628/6477/3908/104/4155/2297/10381/23077/7869/1272/9369/7204/65078/5362/1906/4983/23011/2932/1808/9252/2737/1855/6722/1385/8609/8239/23022/10439/59352/8650/4038/6498/9856/658/10939/2064/1969/57408/9353/4851/3688/7070/7345/89780/137970/22854/27185/5364/1020/2636/57611/2637/25942/6091/1826/1605/1600/5797/2290/6586/5454/23768/57698/1630/23303/729920/51265/6683/3918/5588/57609/2263/23032/1947/4897/8829/23394/4168/80208/9253/1749/5803/6387/5532/1949/7474/150465/1889/6794/1959/1907/6608/64855/80031/203228/4684/1813/9638/85458/4929/55740/140578/7476/27020/673/123016/399/1000/8941/25987/10509/2050/26037/4914/91584,225
GO:0016049,cell growth,223/5559,493/18903,3.7497590738744e-14,1.6123964017659898e-11,1.13703220759378e-11,3475/5048/6792/2137/7414/999/3371/5590/6857/51447/9175/2023/10371/10512/4133/1785/3320/7481/9962/84678/8425/6548/79594/57556/10013/3326/84861/7528/10110/5802/1954/5518/3249/2931/3984/84687/27346/1982/8437/8936/7422/1839/604/57142/7143/8828/6446/148/7852/3624/1908/1026/51299/23499/6597/1032/2258/10298/23404/3021/694/85004/2045/3300/2100/4089/3487/351/1382/8751/66000/817/9344/118813/26053/3020/4825/253260/8085/29946/10501/147138/1499/84289/214/22883/65059/11007/627/8408/6197/186/2131/64061/1946/7490/5071/10718/7003/147906/10399/10071/1654/112398/9043/7869/3479/56981/65078/9150/56848/26153/8692/10235/1906/22999/23011/2932/1808/1399/51760/6422/59284/1855/5467/6722/57669/60676/28956/10459/79109/8835/4879/5393/8239/6662/10439/9856/5607/56924/102/84162/2064/151835/9686/9353/1956/3688/9472/2697/89780/27185/10611/1020/57611/25942/1826/84275/5916/2810/51379/9699/51320/9792/4869/6586/57698/1630/51265/23327/9564/6416/5588/57609/387/998/51009/7251/79960/4897/23411/8829/23394/1457/4092/80208/6387/5532/81621/65981/56994/7474/150465/3488/6794/9928/53335/2185/1907/54617/684/23025/84722/80031/5925/8826/93649/185/3578/3486/203228/8470/201163/6832/2539/2786/10509/5465/51616/50618/84258/11116/91584,223
GO:0044089,positive regulation of cellular component biogenesis,221/5559,498/18903,5.38685896567506e-13,1.51066262298279e-10,1.0652914229145001e-10,5898/55971/2067/27067/9696/5526/5217/55062/8440/7037/23332/55160/6624/1739/1015/1785/3320/7481/2099/997/5064/26499/55612/869/55512/6101/54922/3984/7016/57606/4848/9750/7422/3567/6869/55719/1191/989/6491/7408/80115/9026/7376/22880/324/948/10677/29109/5879/55755/9873/54874/9908/7168/6622/57451/84630/401548/5058/472/140609/2241/2059/10018/5789/2047/3084/10163/26053/65018/2909/221908/51375/23379/253260/1365/7248/153241/4204/10015/442721/22883/55729/26047/10458/627/8408/2885/9659/1003/9378/2049/1946/11124/116985/375790/51466/3064/10497/10399/1654/388630/6376/57787/10178/80199/10787/22998/6093/9448/55604/2932/1307/3038/6422/55011/8976/28964/57482/6722/10096/57669/55704/57535/9270/1017/6385/6662/7429/3791/92359/10155/1786/23075/8739/577/4926/10152/347902/54828/147381/1969/9869/5899/7013/10435/4314/2823/2895/50807/7070/5578/10602/23122/7401/2150/21/25942/9079/22871/171024/54674/1605/545/10801/23768/9636/3556/1778/6281/347731/387804/342184/56919/54443/578/8100/7175/5601/387/998/7251/5829/6910/8829/23394/9780/29108/857/3605/57472/2185/29899/7471/3397/11135/84962/54552/51429/6249/54869/27183/84722/51535/8027/7099/10097/79998/90102/4478/55835/255967/7476/673/23514/85459/5581/79647/84464/4914/96459,221
GO:0016570,histone modification,217/5559,474/18903,1.79213237019607e-14,9.2699258077719e-12,6.536980728744569e-12,55904/54623/3720/9031/672/8284/26009/23338/9734/58508/4802/9759/23210/6720/8726/60/9733/11176/10847/5978/2122/10075/1789/84678/23186/10013/55257/3299/10664/51366/2146/23081/4591/10014/7468/51111/64426/7422/604/55818/1386/55870/6421/7799/4297/6418/26147/51780/8202/23326/55809/3276/23309/23030/51200/4654/6874/23558/23135/84787/26122/1025/580/51176/9960/57332/4089/10498/63976/57459/6622/817/7403/63978/28989/9219/26040/22976/6497/9577/26053/2005/65018/1487/51043/4000/55689/25862/64324/54815/8085/1499/55209/3008/84289/4204/171023/10782/3054/10524/57673/23512/6879/5187/79813/54880/387893/4582/7874/23450/5079/8464/10865/63925/57708/8861/9757/29128/4800/80853/54799/9474/56848/51412/7994/8648/56970/51720/51322/27154/84148/55011/10270/54531/10891/1911/59336/10765/80314/138474/9329/4298/1786/23378/4221/408/23168/23476/9869/57325/30827/7862/26097/8320/79885/29117/3481/3622/25942/7324/6419/93624/22992/55167/29072/57634/10933/4674/23054/151507/79447/23304/5926/51742/93166/9682/54556/79960/546/23411/9739/29086/6878/84759/150572/79084/5929/55758/6883/9575/6885/3662/11107/93649/22823/6872/201163/79831/8450/29115/5928/6314/80335/25836/56979/114825/79697/4300/221037/84333/5587/7469/64754/3006/26155/9646/158880,217
GO:0198738,cell-cell signaling by wnt,211/5559,458/18903,1.86835713955092e-14,9.2699258077719e-12,6.536980728744569e-12,54623/1951/5310/440193/25960/65125/10076/7089/55593/55737/2011/2239/7481/51701/9978/55612/2010/2254/8312/51366/27120/79816/5518/2931/10927/6468/64750/595/4192/2735/1432/27031/3485/9736/6801/59349/81847/2309/1958/4035/6659/23499/6597/54795/56033/1455/51444/324/29969/22881/5879/9314/5495/51176/7090/3487/351/7483/9580/27303/2719/6934/83439/79705/8324/11197/7074/6497/51704/1613/92162/1499/3516/53944/9839/5881/1501/3728/57674/2300/8325/3090/56998/2262/2535/387914/2131/84133/9241/83999/5071/6477/55959/147906/2870/441478/8861/10399/1654/2297/388630/100133941/406937/3675/80199/5218/57560/23291/1906/2932/5494/57680/25876/6422/51588/2116/2737/9275/23189/1855/1277/9368/4790/10297/607/10459/252839/23184/23240/80114/6662/650/59352/4038/8796/23213/23168/9101/144165/1453/63977/9686/8994/1956/4851/2308/89780/147495/8321/1896/27185/166336/51339/29117/64359/4163/5499/5916/80139/130574/55182/9863/9679/7088/2869/54764/2263/387/998/9620/7479/79960/6932/1540/1457/6299/1749/857/54894/65981/4988/7474/7475/6794/7471/4772/55681/245973/1813/85458/1456/4929/7476/27123/1857/57216/7015/10023/8945/8313/284654/1000/4300/23401/25987/10082/283149/388336/9646/442911/1454,211
GO:0010975,regulation of neuron projection development,210/5559,446/18903,1.28147715456322e-15,1.37758794115546e-12,9.71449611380291e-13,2288/3475/5048/29116/6792/999/27067/84062/7504/1608/1496/5526/2011/9175/10371/10512/4133/9762/57556/25793/79791/4858/84079/5802/1954/2931/54664/2146/3984/23064/9693/10938/4192/653/7422/3280/57142/2043/5396/7143/5906/1268/29993/5911/1948/23499/482/2258/547/6616/2045/10677/9314/347733/56965/3480/4916/10498/5792/1382/5793/81545/26230/7436/5058/54915/6014/5789/118813/7074/7804/2909/114788/120114/7248/10501/54986/5780/238/9024/7025/10458/627/8408/2049/80258/83999/1946/6092/126520/349667/5649/84628/2316/4155/51517/23077/3675/6376/51188/7869/1272/7431/2896/65078/5362/23011/2932/1399/6422/11075/23373/23189/1855/6722/55754/7337/55704/64175/50674/7533/57498/4038/577/4076/6498/9856/10152/8499/10300/27/9353/818/2895/7070/89780/8321/22854/27185/10611/5584/5364/1020/57611/22871/6091/1826/154141/1600/26259/5454/57698/1630/9863/23303/22876/1523/23098/51265/3309/23327/11178/57609/387/4734/9139/4897/3655/8829/112755/23394/4168/10084/65009/6387/1949/65981/411/7474/6794/440730/53335/2185/466/57187/3397/81618/80031/10097/5530/9638/6911/85458/140578/7476/27020/673/57465/26012/1398/1000/25987/5587/10509/389658/26037/4914/9860/91584/4067,210
GO:0016055,Wnt signaling pathway,210/5559,456/18903,2.2609696083759202e-14,1.0416609981446199e-11,7.34560126149802e-12,54623/1951/5310/440193/25960/65125/10076/7089/55593/55737/2011/2239/7481/51701/9978/55612/2010/2254/8312/51366/27120/79816/5518/2931/10927/6468/64750/595/4192/2735/1432/27031/3485/9736/6801/59349/81847/2309/1958/4035/6659/23499/6597/54795/56033/1455/51444/324/29969/22881/5879/9314/5495/51176/7090/3487/351/7483/9580/27303/2719/6934/83439/79705/8324/11197/7074/6497/51704/1613/92162/1499/3516/53944/9839/5881/1501/3728/57674/2300/8325/3090/56998/2262/2535/387914/2131/84133/9241/83999/5071/6477/55959/147906/2870/441478/8861/10399/1654/2297/388630/100133941/406937/3675/80199/5218/57560/23291/1906/2932/5494/57680/25876/6422/51588/2116/2737/9275/23189/1855/1277/9368/4790/10297/607/10459/252839/23184/23240/80114/6662/650/59352/4038/8796/23213/23168/9101/144165/1453/63977/9686/8994/1956/4851/2308/89780/147495/8321/1896/27185/166336/51339/29117/64359/4163/5499/5916/80139/130574/55182/9863/9679/7088/2869/54764/2263/387/998/9620/7479/79960/6932/1540/1457/6299/1749/857/54894/65981/7474/7475/6794/7471/4772/55681/245973/1813/85458/1456/4929/7476/27123/1857/57216/7015/10023/8945/8313/284654/1000/4300/23401/25987/10082/283149/388336/9646/442911/1454,210
GO:0007015,actin filament organization,206/5559,454/18903,2.45476374650041e-13,7.91661308246383e-11,5.5826495519096194e-11,55971/8522/23221/51474/1496/5217/8440/9948/23332/55160/6624/1739/832/2195/7481/6548/64857/51168/7430/23406/79816/5296/3984/7016/84687/7126/23603/8936/6869/390/2693/800/57580/343578/29993/7408/8195/3092/80115/54857/9535/9026/23164/9645/80206/10677/29109/5879/9873/283431/54509/7168/4542/388/93663/2934/120/2620/5058/226/2241/2059/9050/9844/10163/55607/50848/2909/57731/253260/79778/3636/7248/7171/5881/442721/5734/10458/4642/2885/5339/91663/71/10634/5071/116985/83715/51466/2316/6840/6709/51734/7114/406991/6376/10083/10178/1495/10787/22998/6093/9886/119/55604/118/11078/10391/6422/8976/23189/9124/57482/221692/6722/10096/55704/10459/9270/5357/6385/7429/4430/1729/163782/10810/23075/10006/408/10152/83872/9353/10788/10435/130271/51571/56776/133522/11013/10092/10602/23122/5584/7401/2150/22836/7184/171024/27289/93661/29119/57698/6281/406929/57553/342184/395/9564/55761/387/998/87/10529/3693/79822/5829/10580/8829/10278/29108/6387/11133/7139/51019/2185/3397/11135/51429/85415/56907/64005/4647/10097/85464/23671/90102/1730/203228/55740/8470/673/286527/2039/129446/27236/94134/123016/201191/84940/399/5581/6712/5074/4703/830/79729/283,206
GO:0099177,regulation of trans-synaptic signaling,205/5559,449/18903,1.32880406588562e-13,4.7615479027567895e-11,3.35775577116476e-11,9066/999/27067/84062/9498/9454/9627/5590/6857/5217/5743/6507/22839/43/11252/6547/6855/869/1760/2906/5864/4885/1759/84687/4355/9693/5924/2771/6869/2043/7143/5906/4297/6543/1268/27253/148/2693/10755/2914/5582/468/7425/1742/6616/5786/54407/3351/27345/2752/6812/347733/1009/351/59283/152330/66000/6622/8573/774/8525/54915/5789/2047/2890/7804/9162/3745/55607/65018/808/22941/2898/6809/4218/25837/4204/10636/7532/3814/2897/22883/10458/627/8541/9378/9241/8398/5413/5071/10718/613/729956/5649/84628/3908/4763/2913/6376/477/321/10858/1906/4983/22999/2932/23085/3710/5594/59284/23373/1855/28964/84961/6722/6146/57616/6780/7533/9590/6533/5914/9581/9101/10769/1979/3688/1977/2895/89780/25769/114/3060/22854/27185/4889/1020/5579/2915/22871/5028/136/79772/9699/23236/2903/57537/1630/5575/2917/4311/594857/5534/23154/11178/6558/815/8898/84502/112755/9145/23394/56853/259232/5327/5532/26001/81539/590/5334/1143/2185/1959/25953/23025/54583/440279/84896/5530/409/152404/10814/1813/2900/9456/7476/22986/27020/673/127262/57465/134/2912/348980/2171/26012/783/339302/1000/5581/2918/388336/26037/4914/6844,205
