peak_id,chr,start,end,width,conc,conc_ctrl,conc_treat,fold,p_value,FDR,annotation,gene_chr,gene_start,gene_end,gene_len,gene_strand,gene_id,transcript_id,distance_to_tss
1,chr4,92253348,92255699,2352,6.423378,7.30936,3.705313,3.317159,0.0,2e-30,"Intron (ENST00000662528.1/ENSG00000287392.1, intron 2 of 2)",4,92260367,92260751,385,2,ENSG00000280056.1,ENST00000624435.1,5052
2,chr12,7917669,7920204,2536,6.280689,4.321413,7.082131,-2.47573,1.39409e-25,3.307334818e-21,Promoter (<=1kb),12,7919231,7919750,520,2,ENSG00000059804.16,ENST00000543435.1,0
3,chr2,216662823,216667176,4354,7.424743,6.055895,8.114311,-1.886579,6.970939e-24,1.10252372169e-19,Promoter (2-3kb),2,216660733,216664409,3677,1,ENSG00000115457.10,ENST00000436812.1,2090
4,chr1,228058599,228061153,2555,7.546764,6.129401,8.24774,-1.912687,7.51101118e-22,8.909561462901e-18,3' UTR,1,228073909,228076550,2642,2,ENSG00000276255.2,ENST00000623471.1,15397
5,chr1,8868076,8870490,2415,7.22005,3.634437,8.158678,-4.450564,2.657848221e-21,2.5221916482183e-17,Promoter (1-2kb),1,8861002,8871576,10575,2,ENSG00000074800.16,ENST00000464920.2,1086
6,chr19,45881565,45883874,2310,6.793507,5.429563,7.481895,-1.846539,4.687679937e-21,3.7070172943916e-17,Promoter (2-3kb),19,45883608,45886141,2534,2,ENSG00000170604.5,ENST00000302165.5,2267
7,chr5,138467087,138470581,3495,6.347399,4.711808,7.094281,-2.057987,1.316785271943e-18,7.915423520003611e-15,Promoter (1-2kb),5,138465479,138469303,3825,1,ENSG00000120738.8,ENST00000239938.5,1608
8,chr17,79834979,79837898,2920,6.561043,5.234208,7.240339,-1.788261,1.334584980611e-18,7.915423520003611e-15,Promoter (<=1kb),17,79835143,79837881,2739,2,ENSG00000141582.15,ENST00000495122.1,0
9,chr22,19721360,19724916,3557,6.992771,5.790166,7.639404,-1.653371,6.103058475471e-18,3.21753242826835e-14,Promoter (<=1kb),22,19723539,19724771,1233,1,ENSG00000203618.6,ENST00000366425.4,0
10,chr1,173860976,173863256,2281,5.982595,6.713173,4.429157,1.992638,1.8765588040092e-17,8.90389621326262e-14,Promoter (<=1kb),1,173862473,173863941,1469,1,ENSG00000270084.2,ENST00000602767.2,0
11,chr19,916828,920778,3951,6.900769,5.728143,7.53897,-1.621978,2.5551240405963e-17,1.06810572883681e-13,Promoter (<=1kb),19,917287,919536,2250,1,ENSG00000116014.10,ENST00000592648.1,0
12,chr6,33589560,33591288,1729,6.493228,5.209951,7.161473,-1.725295,2.7013296126373e-17,1.06810572883681e-13,Promoter (2-3kb),6,33586104,33593316,7213,2,ENSG00000197251.4,ENST00000689377.1,2028
13,chr2,167331553,167332291,739,5.636317,6.416709,3.812141,2.09419,2.12558152752643e-16,7.53033626715e-13,"Intron (ENST00000392690.4/ENSG00000172318.6, intron 1 of 4)",2,167293171,167558333,265163,1,ENSG00000228222.1,ENST00000442316.1,38382
14,chr19,7505560,7507330,1771,6.638303,5.32981,7.312997,-1.730149,2.22189992708017e-16,7.53033626715e-13,Promoter (<=1kb),19,7506795,7508447,1653,1,ENSG00000198723.11,ENST00000601292.1,0
15,chr6,73513357,73515140,1784,6.58866,7.239862,5.36947,1.629168,2.60700649843958e-16,8.246482955864069e-13,"Intron (ENST00000676547.1/ENSG00000156508.19, intron 6 of 6)",6,73517519,73518811,1293,2,ENSG00000156508.19,ENST00000679031.1,3671
16,chr1,28513934,28515952,2019,5.224497,6.038821,3.174753,2.452599,5.01473367247497e-16,1.48711927057245e-12,Promoter (2-3kb),1,28518136,28538983,20848,1,ENSG00000180198.17,ENST00000373832.5,-2184
17,chr19,1455325,1456305,981,5.591812,3.873183,6.354086,-2.105968,1.72573883428362e-15,4.81663860053466e-12,Promoter (2-3kb),19,1457670,1458580,911,2,ENSG00000267317.2,ENST00000591252.2,2275
18,chr19,47446789,47448183,1395,6.682822,5.584296,7.299186,-1.525783,2.06836000247068e-15,5.452196966512719e-12,Promoter (<=1kb),19,47432407,47447622,15216,2,ENSG00000118160.14,ENST00000601757.1,0
19,chr1,42935882,42939027,3146,6.358631,5.114462,7.01659,-1.663981,2.54775537802697e-15,6.36241564087492e-12,"Intron (ENST00000426263.10/ENSG00000117394.24, intron 2 of 9)",1,42926174,42931769,5596,2,ENSG00000117394.24,ENST00000676254.1,-4113
20,chr17,56595639,56597163,1525,6.658008,5.61173,7.258073,-1.473345,3.52263936928539e-15,8.35710963969267e-12,Promoter (1-2kb),17,56593699,56595611,1913,1,ENSG00000183691.6,ENST00000332822.6,1940
21,chr11,82593605,82593721,117,5.809912,6.498537,4.444982,1.880407,3.764688891440811e-15,8.50604564386112e-12,"Intron (ENST00000532217.1/ENSG00000245832.7, intron 3 of 4)",11,82603529,82643439,39911,2,ENSG00000255246.2,ENST00000661021.1,49718
22,chr19,55598636,55600986,2351,7.662176,6.766765,8.21052,-1.317536,9.19519228250423e-15,1.9831521973648198e-11,Promoter (<=1kb),19,55600022,55602503,2482,1,ENSG00000171443.7,ENST00000589521.1,0
23,chr19,18223603,18226471,2869,7.382665,6.398109,7.962442,-1.398846,1.8671280731167302e-14,3.8518040353583697e-11,Promoter (<=1kb),19,18207965,18226438,18474,2,ENSG00000105650.23,ENST00000262805.17,0
